,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,OverIVA-IP,3,10,7,0.4130625,1.0,0,1675701733,0,0,0.0,-7.016393460619334,-6.925231923948246,0.0,0.0,0.0
1,OverIVA-IP,3,10,7,0.4130625,1.0,0,1675701733,50,1,0.9259188223222605,-4.477918686710475,0.9991023995857568,2.5384747739088573,7.924334323534002,0.6666666666666666
2,OverIVA-IP2,3,10,7,0.4130625,1.0,0,1675701733,0,0,0.0,-7.016393460619334,-6.925231923948246,0.0,0.0,0.0
3,OverIVA-IP2,3,10,7,0.4130625,1.0,0,1675701733,50,1,0.8352572990990665,-3.050883466248466,2.5912056562962817,3.9655099943708674,9.516437580244528,1.0
4,AuxIVA-IP2,3,10,7,0.4130625,1.0,0,1675701733,0,0,0.0,-7.031235247188099,-6.8742344990983275,0.0,0.0,0.0
5,AuxIVA-IP2,3,10,7,0.4130625,1.0,0,1675701733,50,1,2.0833512049014544,-3.216726929384194,3.404170524242756,3.8145083178039045,10.278405023341085,1.0
6,OverIVA-DX/BG,3,10,7,0.4130625,1.0,0,1675701733,0,0,0.0,-7.016393460619334,-6.925231923948246,0.0,0.0,0.0
7,OverIVA-DX/BG,3,10,7,0.4130625,1.0,0,1675701733,50,1,1.0445141877665283,-3.9928110628555644,1.5652319086792896,3.023582397763768,8.490463832627535,1.0
8,PCA+AuxIVA-IP,3,10,7,0.4130625,1.0,0,1675701733,0,0,0.0,-7.016393460619334,-6.925231923948246,0.0,0.0,0.0
9,PCA+AuxIVA-IP,3,10,7,0.4130625,1.0,0,1675701733,50,1,0.4852675266750883,-20.367804595111526,-7.015062941431985,-13.351411134492194,-0.08983101748373823,0.0
10,OverIVA-IP,2,10,7,0.41675,1.0,0,1675701733,0,0,0.0,-4.815504777582591,-4.787105261938166,0.0,0.0,0.0
11,OverIVA-IP,2,10,7,0.41675,1.0,0,1675701733,50,1,0.636691513199647,-1.0536095581216516,4.388029010398201,3.761895219460939,9.175134272336367,1.0
