,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,AuxIVA-IP2,3,10,3,0.4130625,1,5,1402032510,0,0,0,-4.716858614,-4.645919802,0,0,0
1,AuxIVA-IP2,3,10,3,0.4130625,1,5,1402032510,50,1,0.366551981,-0.069932307,2.409541991,4.646926307,7.055461793,0.333333333
2,AuxIVA-IP2,3,10,3,0.4130625,1,0,878579710,0,0,0,-6.803773284,-6.662506101,0,0,0
3,AuxIVA-IP2,3,10,3,0.4130625,1,0,878579710,50,1,0.369733736,-5.859983811,-3.08618439,0.943789473,3.576321711,0.333333333
4,AuxIVA-IP2,3,10,3,0.4130625,1,5,561383553,0,0,0,-4.749853893,-4.55999304,0,0,0
5,AuxIVA-IP2,3,10,3,0.4130625,1,5,561383553,50,1,0.360116205,-1.901329944,1.557911235,2.848523948,6.117904275,0.333333333
6,AuxIVA-IP2,3,10,3,0.4130625,1,-5,1675701733,0,0,0,-10.42397806,-10.32988523,0,0,0
7,AuxIVA-IP2,3,10,3,0.4130625,1,-5,1675701733,50,1,0.364147898,-14.26954032,-5.252384606,-3.845562264,5.077500622,0.333333333
8,AuxIVA-IP2,3,10,3,0.4130625,1,-5,1319794951,0,0,0,-10.55954108,-10.46354496,0,0,0
9,AuxIVA-IP2,3,10,3,0.4130625,1,-5,1319794951,50,1,0.369617575,-8.688798061,-6.051511239,1.870743016,4.412033716,0
10,AuxIVA-IP2,3,10,3,0.4130625,1,0,36027469,0,0,0,-6.931397069,-6.80616231,0,0,0
11,AuxIVA-IP2,3,10,3,0.4130625,1,0,36027469,50,1,0.36217721,-4.657872685,-2.22523776,2.273524384,4.580924551,0
12,AuxIVA-IP2,3,10,3,0.4130625,1,5,665605494,0,0,0,-4.683419445,-4.56157575,0,0,0
13,AuxIVA-IP2,3,10,3,0.4130625,1,5,665605494,50,1,0.368090508,-0.844396719,1.520221531,3.839022726,6.081797281,0.333333333
14,AuxIVA-IP2,3,10,3,0.4130625,1,10,1319794951,0,0,0,-3.517326488,-3.299073054,0,0,0
15,AuxIVA-IP2,3,10,3,0.4130625,1,10,1319794951,50,1,0.366674487,1.845974408,4.958198507,5.363300896,8.257271561,0.333333333
16,AuxIVA-IP2,3,10,3,0.4130625,1,0,137773602,0,0,0,-6.921028843,-6.820113862,0,0,0
17,AuxIVA-IP2,3,10,3,0.4130625,1,0,137773602,50,1,0.371341691,-5.748238638,-3.022325745,1.172790205,3.797788116,0
18,AuxIVA-IP2,3,10,3,0.4130625,1,-5,1282922662,0,0,0,-10.5630986,-10.41601088,0,0,0
19,AuxIVA-IP2,3,10,3,0.4130625,1,-5,1282922662,50,1,0.376833193,-8.600910312,-6.015821282,1.962188292,4.400189599,0
20,AuxIVA-IP2,3,10,3,0.4130625,1,-5,878579710,0,0,0,-10.346658,-10.18754418,0,0,0
21,AuxIVA-IP2,3,10,3,0.4130625,1,-5,878579710,50,1,0.369926263,-17.50156501,-8.491384636,-7.154907016,1.696159547,0
22,AuxIVA-IP2,3,10,3,0.4130625,1,-5,170765737,0,0,0,-10.7289433,-10.56600433,0,0,0
23,AuxIVA-IP2,3,10,3,0.4130625,1,-5,170765737,50,1,0.369594496,-14.15509266,-6.09800984,-3.426149353,4.467994488,0.333333333
24,AuxIVA-IP2,3,10,3,0.4130625,1,5,1712592594,0,0,0,-4.690696146,-4.587737932,0,0,0
25,AuxIVA-IP2,3,10,3,0.4130625,1,5,1712592594,50,1,0.367243463,-0.510804124,2.266337581,4.179892021,6.854075513,0.333333333
26,AuxIVA-IP2,3,10,3,0.4130625,1,0,1319794951,0,0,0,-6.881704124,-6.773681027,0,0,0
27,AuxIVA-IP2,3,10,3,0.4130625,1,0,1319794951,50,1,0.367336784,-4.080833511,-1.430568875,2.800870613,5.343112153,0.333333333
28,AuxIVA-IP2,3,10,3,0.4130625,1,5,1959836417,0,0,0,-4.639093201,-4.518393789,0,0,0
29,AuxIVA-IP2,3,10,3,0.4130625,1,5,1959836417,50,1,0.363453016,-3.125618541,-0.131937621,1.51347466,4.386456168,0.333333333
30,AuxIVA-IP2,3,10,3,0.4130625,1,0,1282922662,0,0,0,-6.935191347,-6.787429569,0,0,0
31,AuxIVA-IP2,3,10,3,0.4130625,1,0,1282922662,50,1,0.364977993,-4.040896992,-1.533780278,2.894294355,5.253649291,0.333333333
32,AuxIVA-IP2,3,10,3,0.4130625,1,0,1605979227,0,0,0,-6.966240474,-6.817945056,0,0,0
33,AuxIVA-IP2,3,10,3,0.4130625,1,0,1605979227,50,1,0.364453204,-4.164884148,-1.558570695,2.801356326,5.259374361,0.333333333
34,AuxIVA-IP2,3,10,3,0.4130625,1,10,457175121,0,0,0,-3.609230739,-3.490265994,0,0,0
35,AuxIVA-IP2,3,10,3,0.4130625,1,10,457175121,50,1,0.365417518,-0.557664401,2.440469611,3.051566337,5.930735605,0.666666667
36,AuxIVA-IP2,3,10,3,0.4130625,1,0,1069045865,0,0,0,-6.885805373,-6.738034316,0,0,0
37,AuxIVA-IP2,3,10,3,0.4130625,1,0,1069045865,50,1,0.328139697,-4.029538034,-1.586021742,2.856267338,5.152012574,0.333333333
38,AuxIVA-IP2,3,10,3,0.4130625,1,0,1685103474,0,0,0,-6.87055734,-6.778293107,0,0,0
39,AuxIVA-IP2,3,10,3,0.4130625,1,0,1685103474,50,1,0.3727835,-4.911235135,-2.492602595,1.959322205,4.285690511,0
40,AuxIVA-IP2,3,10,3,0.4130625,1,5,1605979227,0,0,0,-4.721561479,-4.583168656,0,0,0
41,AuxIVA-IP2,3,10,3,0.4130625,1,5,1605979227,50,1,0.362018734,-0.886986207,1.573410566,3.834575272,6.156579222,0.333333333
42,AuxIVA-IP2,3,10,3,0.4130625,1,5,878579710,0,0,0,-4.563395621,-4.448834594,0,0,0
43,AuxIVA-IP2,3,10,3,0.4130625,1,5,878579710,50,1,0.363479711,-2.178697975,1.015656328,2.384697647,5.464490922,0.333333333
44,AuxIVA-IP2,3,10,3,0.4130625,1,-5,665605494,0,0,0,-10.52997477,-10.39708586,0,0,0
45,AuxIVA-IP2,3,10,3,0.4130625,1,-5,665605494,50,1,0.368683047,-11.12808594,-8.537560603,-0.598111168,1.859525261,0
46,AuxIVA-IP2,3,10,3,0.4130625,1,5,659577591,0,0,0,-4.718363408,-4.578591258,0,0,0
47,AuxIVA-IP2,3,10,3,0.4130625,1,5,659577591,50,1,0.333781571,-2.207585948,0.248279825,2.51077746,4.826871084,0.333333333
48,AuxIVA-IP2,3,10,3,0.4130625,1,5,657890619,0,0,0,-4.617034726,-4.478973604,0,0,0
49,AuxIVA-IP2,3,10,3,0.4130625,1,5,657890619,50,1,0.365971241,-0.866162129,1.35703147,3.750872597,5.836005074,0.333333333
50,AuxIVA-IP2,3,10,3,0.4130625,1,-5,137773602,0,0,0,-10.55259312,-10.46599401,0,0,0
51,AuxIVA-IP2,3,10,3,0.4130625,1,-5,137773602,50,1,0.366415868,-15.76243782,-7.840394191,-5.209844701,2.625599814,0
52,AuxIVA-IP2,3,10,3,0.4130625,1,10,1282922662,0,0,0,-3.614786021,-3.494154151,0,0,0
53,AuxIVA-IP2,3,10,3,0.4130625,1,10,1282922662,50,1,0.369270594,0.616400234,3.621816874,4.231186255,7.115971025,0.333333333
54,AuxIVA-IP2,3,10,3,0.4130625,1,10,1981297353,0,0,0,-3.572745724,-3.471999532,0,0,0
