,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,AuxIVA-IP2,3,10,3,0.4130625,1.0,10,1358822685,0,0,0.0,-3.7017317414600694,-3.5823659468053286,0.0,0.0,0.0
1,AuxIVA-IP2,3,10,3,0.4130625,1.0,10,1358822685,50,1,0.20063251256072753,0.4021840101214467,3.042021692994069,4.103915751581516,6.624387639799398,0.3333333333333333
2,AuxIVA-IP2,3,10,3,0.4130625,1.0,-5,1069045865,0,0,0.0,-10.534150290651693,-10.391383512418281,0.0,0.0,0.0
3,AuxIVA-IP2,3,10,3,0.4130625,1.0,-5,1069045865,50,1,0.1832151750727922,-8.409948807120438,-5.8664952029857815,2.1242014835312566,4.524888309432502,0.0
4,AuxIVA-IP2,3,10,3,0.4130625,1.0,-5,1995074678,0,0,0.0,-10.559263182303967,-10.452134126589126,0.0,0.0,0.0
5,AuxIVA-IP2,3,10,3,0.4130625,1.0,-5,1995074678,50,1,0.17199051864788495,-16.43550123131617,-6.865432522400243,-5.876238049012201,3.586701604188883,0.0
6,AuxIVA-IP2,3,10,3,0.4130625,1.0,5,137773602,0,0,0.0,-4.619385923671687,-4.507530541813608,0.0,0.0,0.0
7,AuxIVA-IP2,3,10,3,0.4130625,1.0,5,137773602,50,1,0.1941686449968889,-1.0480585270976353,1.6218651582884671,3.571327396574052,6.129395700102076,0.3333333333333333
8,AuxIVA-IP2,3,10,3,0.4130625,1.0,5,1063926992,0,0,0.0,-4.803636384945136,-4.664677452185422,0.0,0.0,0.0
9,AuxIVA-IP2,3,10,3,0.4130625,1.0,5,1063926992,50,1,0.18850151599951367,-2.2889648447368836,0.7893405022849648,2.5146715402082527,5.4540179544703875,0.3333333333333333
10,AuxIVA-IP2,3,10,3,0.4130625,1.0,-5,657890619,0,0,0.0,-10.621973221855939,-10.480541379316245,0.0,0.0,0.0
