,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,auxiva,3,10,3,0.4130625,1.0,0,1675701733,0,0,0.0,-6.960188785341892,-6.865568649679763,0.0,0.0,0.0
1,auxiva,3,10,3,0.4130625,1.0,0,1675701733,50,1,0.22393922765312607,-4.022465371350138,-1.5545226669089445,2.9377234139917534,5.3110459827708185,0.3333333333333333
2,ilrma-t-IP,3,10,3,0.4130625,1.0,0,1675701733,0,0,0.0,-6.960188785341892,-6.865568649679763,0.0,0.0,0.0
3,ilrma-t-IP,3,10,3,0.4130625,1.0,0,1675701733,50,1,2.1392470027223713,-9.616492542928132,0.9621874531911715,-2.6563037575862407,7.827756102870935,0.3333333333333333
4,ilrma-t-iss-seq,3,10,3,0.4130625,1.0,0,1675701733,0,0,0.0,-6.960188785341892,-6.865568649679763,0.0,0.0,0.0
5,ilrma-t-iss-seq,3,10,3,0.4130625,1.0,0,1675701733,50,1,1.4842022075526542,-3.80047056358149,-1.4872614403907285,3.1597182217604014,5.3783072092890345,0.3333333333333333
6,ilrma-t-iss-joint,3,10,3,0.4130625,1.0,0,1675701733,0,0,0.0,-6.960188785341892,-6.865568649679763,0.0,0.0,0.0
7,ilrma-t-iss-joint,3,10,3,0.4130625,1.0,0,1675701733,50,1,2.041753824071932,-3.80047056358149,-1.4872614403907285,3.1597182217604014,5.3783072092890345,0.3333333333333333
8,ilrma,3,10,3,0.4130625,1.0,0,1675701733,0,0,0.0,-6.960188785341892,-6.865568649679763,0.0,0.0,0.0
9,ilrma,3,10,3,0.4130625,1.0,0,1675701733,50,1,0.38567774001648925,-9.611018606201045,1.14615807212659,-2.650829820859154,8.011726721806355,0.3333333333333333
