,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],_SI-SDR [dB],_SI-SIR [dB],Success
0,auxiva,3,10,3,0.634,1,10,1995074678,0,0,0,-3.588335112,-3.479636135,0,0,0
1,auxiva,3,10,3,0.634,1,10,1995074678,50,1,0.20273205,-0.151027337,2.85964978,3.437307774,6.339285915,0.333333333
2,ilrma-t-IP,3,10,3,0.634,1,10,1995074678,0,0,0,-3.588335112,-3.479636135,0,0,0
3,ilrma-t-IP,3,10,3,0.634,1,10,1995074678,50,1,2.657505072,0.041907129,2.89910169,3.63024224,6.378737825,0.333333333
4,ilrma-t-iss-seq,3,10,3,0.634,1,10,1995074678,0,0,0,-3.588335112,-3.479636135,0,0,0
5,ilrma-t-iss-seq,3,10,3,0.634,1,10,1995074678,50,1,1.458226247,-0.081306688,2.742842431,3.507028424,6.222478566,0.333333333
6,ilrma-t-iss-joint,3,10,3,0.634,1,10,1995074678,0,0,0,-3.588335112,-3.479636135,0,0,0
7,ilrma-t-iss-joint,3,10,3,0.634,1,10,1995074678,50,1,2.29944458,-0.081306688,2.742842431,3.507028424,6.222478566,0.333333333
8,ilrma,3,10,3,0.634,1,10,1995074678,0,0,0,-3.588335112,-3.479636135,0,0,0
9,ilrma,3,10,3,0.634,1,10,1995074678,50,1,0.380815943,-1.062793179,4.326041989,2.525541932,7.805678124,0.333333333
10,auxiva,3,10,3,0.634,1,10,1358822685,0,0,0,-3.678141544,-3.566663321,0,0,0
11,auxiva,3,10,3,0.634,1,10,1358822685,50,1,0.193882718,-0.486399263,2.492396962,3.191742281,6.059060282,0.333333333
12,ilrma-t-IP,3,10,3,0.634,1,10,1358822685,0,0,0,-3.678141544,-3.566663321,0,0,0
13,ilrma-t-IP,3,10,3,0.634,1,10,1358822685,50,1,2.730332002,-0.193090109,2.623790857,3.485051435,6.190454178,0.333333333
14,ilrma-t-iss-seq,3,10,3,0.634,1,10,1358822685,0,0,0,-3.678141544,-3.566663321,0,0,0
15,ilrma-t-iss-seq,3,10,3,0.634,1,10,1358822685,50,1,1.508079478,-0.070995918,2.769913231,3.607145627,6.336576552,0.333333333
16,ilrma-t-iss-joint,3,10,3,0.634,1,10,1358822685,0,0,0,-3.678141544,-3.566663321,0,0,0
17,ilrma-t-iss-joint,3,10,3,0.634,1,10,1358822685,50,1,2.314086105,-0.070995918,2.769913231,3.607145627,6.336576552,0.333333333
18,ilrma,3,10,3,0.634,1,10,1358822685,0,0,0,-3.678141544,-3.566663321,0,0,0
19,ilrma,3,10,3,0.634,1,10,1358822685,50,1,0.37818231,0.445836073,3.222761373,4.123977617,6.789424694,0.333333333
20,auxiva,3,10,3,0.634,1,10,1675701733,0,0,0,-3.542684361,-3.442049937,0,0,0
21,auxiva,3,10,3,0.634,1,10,1675701733,50,1,0.19424616,-0.384930034,2.73187045,3.157754327,6.173920387,0.333333333
22,ilrma-t-IP,3,10,3,0.634,1,10,1675701733,0,0,0,-3.542684361,-3.442049937,0,0,0
23,ilrma-t-IP,3,10,3,0.634,1,10,1675701733,50,1,2.741526362,0.234297908,3.1274174,3.77698227,6.569467337,0.333333333
24,ilrma-t-iss-seq,3,10,3,0.634,1,10,1675701733,0,0,0,-3.542684361,-3.442049937,0,0,0
25,ilrma-t-iss-seq,3,10,3,0.634,1,10,1675701733,50,1,1.480427808,0.237070466,3.135286441,3.779754828,6.577336378,0.333333333
26,ilrma-t-iss-joint,3,10,3,0.634,1,10,1675701733,0,0,0,-3.542684361,-3.442049937,0,0,0
27,ilrma-t-iss-joint,3,10,3,0.634,1,10,1675701733,50,1,2.306791416,0.237070466,3.135286441,3.779754828,6.577336378,0.333333333
28,ilrma,3,10,3,0.634,1,10,1675701733,0,0,0,-3.542684361,-3.442049937,0,0,0
29,ilrma,3,10,3,0.634,1,10,1675701733,50,1,0.38536912,0.271612516,3.103933291,3.814296878,6.545983228,0.333333333
30,auxiva,3,10,3,0.634,1,0,457175121,0,0,0,-6.996292048,-6.884593473,0,0,0
31,auxiva,3,10,3,0.634,1,0,457175121,50,1,0.197626356,-7.786710293,-5.034455015,-0.790418245,1.850138458,0
32,ilrma-t-IP,3,10,3,0.634,1,0,457175121,0,0,0,-6.996292048,-6.884593473,0,0,0
33,ilrma-t-IP,3,10,3,0.634,1,0,457175121,50,1,2.647677679,-12.58067839,-3.363986914,-5.584386346,3.520606559,0
34,ilrma-t-iss-seq,3,10,3,0.634,1,0,457175121,0,0,0,-6.996292048,-6.884593473,0,0,0
35,ilrma-t-iss-seq,3,10,3,0.634,1,0,457175121,50,1,1.510564917,-12.99237035,-4.37112499,-5.9960783,2.513468482,0
36,ilrma-t-iss-joint,3,10,3,0.634,1,0,457175121,0,0,0,-6.996292048,-6.884593473,0,0,0
37,ilrma-t-iss-joint,3,10,3,0.634,1,0,457175121,50,1,2.29505178,-12.99237035,-4.37112499,-5.9960783,2.513468482,0
38,ilrma,3,10,3,0.634,1,0,457175121,0,0,0,-6.996292048,-6.884593473,0,0,0
39,ilrma,3,10,3,0.634,1,0,457175121,50,1,0.384549983,-14.56253749,-4.741230766,-7.566245442,2.143362707,0
40,auxiva,3,10,3,0.634,1,0,1358822685,0,0,0,-7.01581612,-6.872364529,0,0,0
41,auxiva,3,10,3,0.634,1,0,1358822685,50,1,0.193254485,-5.829572557,-3.16973901,1.186243563,3.702625519,0
42,ilrma-t-IP,3,10,3,0.634,1,0,1358822685,0,0,0,-7.01581612,-6.872364529,0,0,0
43,ilrma-t-IP,3,10,3,0.634,1,0,1358822685,50,1,2.687496199,-9.443563791,0.726345171,-2.42774767,7.5987097,0.333333333
44,ilrma-t-iss-seq,3,10,3,0.634,1,0,1358822685,0,0,0,-7.01581612,-6.872364529,0,0,0
45,ilrma-t-iss-seq,3,10,3,0.634,1,0,1358822685,50,1,1.483894237,-6.026344485,-2.762995493,0.989471635,4.109369036,0.333333333
46,ilrma-t-iss-joint,3,10,3,0.634,1,0,1358822685,0,0,0,-7.01581612,-6.872364529,0,0,0
47,ilrma-t-iss-joint,3,10,3,0.634,1,0,1358822685,50,1,2.295310095,-6.026344485,-2.762995493,0.989471635,4.109369036,0.333333333
48,ilrma,3,10,3,0.634,1,0,1358822685,0,0,0,-7.01581612,-6.872364529,0,0,0
