,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,auxiva,2,10,2,0.6346562499999999,1.0,0,1675701733,0,0,0.0,-4.7571671363795325,-4.728151569366194,0.0,0.0,0.0
1,auxiva,2,10,2,0.6346562499999999,1.0,0,1675701733,50,1,0.05805238669880491,-1.7861981337691173,1.497496640928353,2.9709690026104156,6.225648210294548,1.0
2,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,0,1675701733,0,0,0.0,-4.7571671363795325,-4.728151569366194,0.0,0.0,0.0
3,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,0,1675701733,50,1,3.8631493243804833,-1.2794876365006551,1.9142565420616973,3.477679499878878,6.6424081114278914,1.0
4,ilrma-t-iss-seq,2,10,2,0.6346562499999999,1.0,0,1675701733,0,0,0.0,-4.7571671363795325,-4.728151569366194,0.0,0.0,0.0
5,ilrma-t-iss-seq,2,10,2,0.6346562499999999,1.0,0,1675701733,50,1,0.7502668568919783,-2.09679210094248,1.315269013390198,2.660375035437053,6.043420582756393,1.0
6,ilrma-t-iss-joint,2,10,2,0.6346562499999999,1.0,0,1675701733,0,0,0.0,-4.7571671363795325,-4.728151569366194,0.0,0.0,0.0
7,ilrma-t-iss-joint,2,10,2,0.6346562499999999,1.0,0,1675701733,50,1,2.3788162876158463,-2.09679210094248,1.315269013390198,2.660375035437053,6.043420582756393,1.0
8,ilrma,2,10,2,0.6346562499999999,1.0,0,1675701733,0,0,0.0,-4.7571671363795325,-4.728151569366194,0.0,0.0,0.0
9,ilrma,2,10,2,0.6346562499999999,1.0,0,1675701733,50,1,0.16123060434438888,-1.524405060708647,1.6510310082384807,3.2327620756708857,6.379182577604675,1.0
10,auxiva,2,10,2,0.6346562499999999,1.0,0,170765737,0,0,0.0,-4.99962019176521,-4.6875142249828645,0.0,0.0,0.0
11,auxiva,2,10,2,0.6346562499999999,1.0,0,170765737,50,1,0.0500812379947154,-1.5034506844165834,1.6025528111190268,3.4961695073486263,6.290067036101891,1.0
12,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,0,170765737,0,0,0.0,-4.99962019176521,-4.6875142249828645,0.0,0.0,0.0
13,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,0,170765737,50,1,3.301265819266528,-0.9093484664206405,2.0142586220672976,4.09027172534457,6.701772847050162,1.0
14,ilrma-t-iss-seq,2,10,2,0.6346562499999999,1.0,0,170765737,0,0,0.0,-4.99962019176521,-4.6875142249828645,0.0,0.0,0.0
15,ilrma-t-iss-seq,2,10,2,0.6346562499999999,1.0,0,170765737,50,1,0.7009609282365168,-0.8354455045510681,2.149213436611408,4.1641746872141425,6.8367276615942725,1.0
16,ilrma-t-iss-joint,2,10,2,0.6346562499999999,1.0,0,170765737,0,0,0.0,-4.99962019176521,-4.6875142249828645,0.0,0.0,0.0
17,ilrma-t-iss-joint,2,10,2,0.6346562499999999,1.0,0,170765737,50,1,1.7397472211083354,-0.8354455045510681,2.149213436611408,4.1641746872141425,6.8367276615942725,1.0
18,ilrma,2,10,2,0.6346562499999999,1.0,0,170765737,0,0,0.0,-4.99962019176521,-4.6875142249828645,0.0,0.0,0.0
19,ilrma,2,10,2,0.6346562499999999,1.0,0,170765737,50,1,0.15018228365655545,-1.1720105458386851,1.4453882529348359,3.827609645926525,6.1329024779177,1.0
20,auxiva,2,10,2,0.6346562499999999,1.0,0,1981297353,0,0,0.0,-4.645576517475346,-4.402715444184178,0.0,0.0,0.0
21,auxiva,2,10,2,0.6346562499999999,1.0,0,1981297353,50,1,0.052353474022691894,-1.9529414424890046,1.2818444066139918,2.6926350749863412,5.68455985079817,1.0
22,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,0,1981297353,0,0,0.0,-4.645576517475346,-4.402715444184178,0.0,0.0,0.0
23,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,0,1981297353,50,1,2.4176054416404367,-1.2173051332349447,1.9082988024641963,3.4282713842404013,6.311014246648375,1.0
24,ilrma-t-iss-seq,2,10,2,0.6346562499999999,1.0,0,1981297353,0,0,0.0,-4.645576517475346,-4.402715444184178,0.0,0.0,0.0
25,ilrma-t-iss-seq,2,10,2,0.6346562499999999,1.0,0,1981297353,50,1,3.9143112569241767,-1.309139059421037,1.8211793508371226,3.336437458054309,6.223894795021301,1.0
26,ilrma-t-iss-joint,2,10,2,0.6346562499999999,1.0,0,1981297353,0,0,0.0,-4.645576517475346,-4.402715444184178,0.0,0.0,0.0
27,ilrma-t-iss-joint,2,10,2,0.6346562499999999,1.0,0,1981297353,50,1,4.969336487679289,-1.309139059421037,1.8211793508371226,3.336437458054309,6.223894795021301,1.0
28,ilrma,2,10,2,0.6346562499999999,1.0,0,1981297353,0,0,0.0,-4.645576517475346,-4.402715444184178,0.0,0.0,0.0
29,ilrma,2,10,2,0.6346562499999999,1.0,0,1981297353,50,1,0.16493167111975104,-5.6905250570977675,1.8614811106353129,-1.0449485396224212,6.264196554819491,0.5
30,auxiva,2,10,2,0.6346562499999999,1.0,10,1819941518,0,0,0.0,-0.9576265637432493,-0.5748804760577965,0.0,0.0,0.0
31,auxiva,2,10,2,0.6346562499999999,1.0,10,1819941518,50,1,0.05490912798229202,6.921843018800876,12.181930696789442,7.879469582544125,12.756811172847238,1.0
32,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,10,1819941518,0,0,0.0,-0.9576265637432493,-0.5748804760577965,0.0,0.0,0.0
33,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,10,1819941518,50,1,3.2813091624706954,7.560168130574787,12.495319819123345,8.517794694318036,13.070200295181142,1.0
34,ilrma-t-iss-seq,2,10,2,0.6346562499999999,1.0,10,1819941518,0,0,0.0,-0.9576265637432493,-0.5748804760577965,0.0,0.0,0.0
35,ilrma-t-iss-seq,2,10,2,0.6346562499999999,1.0,10,1819941518,50,1,0.7193616991666029,5.506335454619303,11.386980551957885,6.463962018362552,11.961861028015681,1.0
36,ilrma-t-iss-joint,2,10,2,0.6346562499999999,1.0,10,1819941518,0,0,0.0,-0.9576265637432493,-0.5748804760577965,0.0,0.0,0.0
37,ilrma-t-iss-joint,2,10,2,0.6346562499999999,1.0,10,1819941518,50,1,1.5380701411412177,5.506335454619303,11.386980551957885,6.463962018362552,11.961861028015681,1.0
38,ilrma,2,10,2,0.6346562499999999,1.0,10,1819941518,0,0,0.0,-0.9576265637432493,-0.5748804760577965,0.0,0.0,0.0
39,ilrma,2,10,2,0.6346562499999999,1.0,10,1819941518,50,1,0.17029966114849265,6.4729199713049645,11.783462780117897,7.430546535048214,12.358343256175694,1.0
40,auxiva,2,10,2,0.6346562499999999,1.0,0,878579710,0,0,0.0,-4.604366145186065,-4.347402547758216,0.0,0.0,0.0
41,auxiva,2,10,2,0.6346562499999999,1.0,0,878579710,50,1,0.05579508052485044,-3.756299129764395,-0.08526187690146358,0.8480670154216701,4.262140670856752,0.5
42,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,0,878579710,0,0,0.0,-4.604366145186065,-4.347402547758216,0.0,0.0,0.0
43,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,0,878579710,50,1,3.881319915583402,-2.9777979290305168,0.392846623510109,1.6265682161555484,4.740249171268325,1.0
44,ilrma-t-iss-seq,2,10,2,0.6346562499999999,1.0,0,878579710,0,0,0.0,-4.604366145186065,-4.347402547758216,0.0,0.0,0.0
45,ilrma-t-iss-seq,2,10,2,0.6346562499999999,1.0,0,878579710,50,1,0.7170952033854712,-6.192350455407107,-2.334987614619073,-1.5879843102210418,2.012414933139143,0.0
