,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,10,410361373,0,0,0.0,-1.0772481366020528,-0.6713123051394693,0.0,0.0,0.0
1,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,10,410361373,50,1,1.0227680277416558,6.5730543917206266,11.88132770816888,7.65030252832268,12.55264001330835,1.0
2,ilrma,2,10,2,0.6346562499999999,1.0,10,410361373,0,0,0.0,-1.0772481366020528,-0.6713123051394693,0.0,0.0,0.0
3,ilrma,2,10,2,0.6346562499999999,1.0,10,410361373,50,1,0.23536263545730385,6.381878141385744,11.569624909137104,7.459126277987798,12.240937214276574,1.0
4,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,0,1712592594,0,0,0.0,-4.855353157924217,-4.578761922986392,0.0,0.0,0.0
5,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,0,1712592594,50,1,0.9790839059591385,-0.4725878339616297,2.5146399488493403,4.3827653239625874,7.093401871835733,1.0
6,ilrma,2,10,2,0.6346562499999999,1.0,0,1712592594,0,0,0.0,-4.855353157924217,-4.578761922986392,0.0,0.0,0.0
7,ilrma,2,10,2,0.6346562499999999,1.0,0,1712592594,50,1,0.22737016064164725,-5.696763290253429,3.30420341056098,-0.8414101323292118,7.882965333547372,0.5
8,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,10,1959836417,0,0,0.0,-0.9741254700109067,-0.5160355900600769,0.0,0.0,0.0
9,ilrma-t-IP,2,10,2,0.6346562499999999,1.0,10,1959836417,50,1,0.9621725868036973,7.350289887182801,12.321464208544679,8.324415357193708,12.837499798604755,1.0
10,ilrma,2,10,2,0.6346562499999999,1.0,10,1959836417,0,0,0.0,-0.9741254700109067,-0.5160355900600769,0.0,0.0,0.0
