,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,ilrma-t-IP,3,10,3,0.6344375,1,0,137773602,0,0,0,-6.876142693,-6.677373699,0,0,0
1,ilrma-t-IP,3,10,3,0.6344375,1,0,137773602,50,1,5.069013306,-6.23738917,-2.60576493,0.638753523,4.071608769,0.333333333
2,ilrma,3,10,3,0.6344375,1,0,137773602,0,0,0,-6.876142693,-6.677373699,0,0,0
3,ilrma,3,10,3,0.6344375,1,0,137773602,50,1,1.399387767,-5.701261498,0.04340233,1.174881194,6.720776029,0.333333333
4,ilrma-t-IP,3,10,3,0.6344375,1,0,657890619,0,0,0,-6.859237197,-6.609447372,0,0,0
5,ilrma-t-IP,3,10,3,0.6344375,1,0,657890619,50,1,5.055619843,-8.248115314,-5.2948604,-1.388878118,1.314586972,0
6,ilrma,3,10,3,0.6344375,1,0,657890619,0,0,0,-6.859237197,-6.609447372,0,0,0
7,ilrma,3,10,3,0.6344375,1,0,657890619,50,1,1.424157872,-9.623289275,-4.629087171,-2.764052079,1.980360201,0
8,ilrma-t-IP,3,10,3,0.6344375,1,0,290876773,0,0,0,-7.035292119,-6.712171873,0,0,0
9,ilrma-t-IP,3,10,3,0.6344375,1,0,290876773,50,1,5.005745197,-5.32961377,-1.979656987,1.705678349,4.732514886,0.333333333
10,ilrma,3,10,3,0.6344375,1,0,290876773,0,0,0,-7.035292119,-6.712171873,0,0,0
11,ilrma,3,10,3,0.6344375,1,0,290876773,50,1,1.412323296,-8.749307321,4.03339781,-1.714015202,10.74556968,0.666666667
12,ilrma-t-IP,3,10,3,0.6344375,1,0,1959836417,0,0,0,-6.96295322,-6.786693904,0,0,0
13,ilrma-t-IP,3,10,3,0.6344375,1,0,1959836417,50,1,5.015666008,-5.109930951,0.040002412,1.853022269,6.826696316,0.333333333
14,ilrma,3,10,3,0.6344375,1,0,1959836417,0,0,0,-6.96295322,-6.786693904,0,0,0
15,ilrma,3,10,3,0.6344375,1,0,1959836417,50,1,1.42299072,-8.055337774,2.591135592,-1.092384555,9.377829496,0.666666667
16,ilrma-t-IP,3,10,3,0.6344375,1,10,170765737,0,0,0,-3.600686949,-3.33159165,0,0,0
17,ilrma-t-IP,3,10,3,0.6344375,1,10,170765737,50,1,5.132988993,4.442165246,11.6234431,8.042852195,14.95503475,1
18,ilrma,3,10,3,0.6344375,1,10,170765737,0,0,0,-3.600686949,-3.33159165,0,0,0
19,ilrma,3,10,3,0.6344375,1,10,170765737,50,1,1.437346237,4.671513663,11.69872119,8.272200612,15.03031284,1
20,ilrma-t-IP,3,10,3,0.6344375,1,10,665605494,0,0,0,-3.661956392,-3.441993968,0,0,0
21,ilrma-t-IP,3,10,3,0.6344375,1,10,665605494,50,1,5.055573471,3.881447555,11.4622163,7.543403948,14.90421027,1
22,ilrma,3,10,3,0.6344375,1,10,665605494,0,0,0,-3.661956392,-3.441993968,0,0,0
23,ilrma,3,10,3,0.6344375,1,10,665605494,50,1,1.437839314,4.511628727,11.67464743,8.173585119,15.1166414,1
24,ilrma-t-IP,3,10,3,0.6344375,1,10,1063926992,0,0,0,-3.749486341,-3.540365873,0,0,0
25,ilrma-t-IP,3,10,3,0.6344375,1,10,1063926992,50,1,5.065380752,3.633109884,11.02407434,7.382596225,14.56444022,1
26,ilrma,3,10,3,0.6344375,1,10,1063926992,0,0,0,-3.749486341,-3.540365873,0,0,0
27,ilrma,3,10,3,0.6344375,1,10,1063926992,50,1,1.449899375,1.666786206,9.943937754,5.416272547,13.48430363,1
28,ilrma-t-IP,3,10,3,0.6344375,1,10,1358822685,0,0,0,-3.68325649,-3.509572038,0,0,0
29,ilrma-t-IP,3,10,3,0.6344375,1,10,1358822685,50,1,5.037120174,4.309460153,11.91326407,7.992716643,15.42283611,1
30,ilrma,3,10,3,0.6344375,1,10,1358822685,0,0,0,-3.68325649,-3.509572038,0,0,0
31,ilrma,3,10,3,0.6344375,1,10,1358822685,50,1,1.401053808,4.948699703,12.67710034,8.631956193,16.18667238,1
32,ilrma-t-IP,3,10,3,0.6344375,1,0,665605494,0,0,0,-6.95729577,-6.696587636,0,0,0
33,ilrma-t-IP,3,10,3,0.6344375,1,0,665605494,50,1,4.929750106,-4.204107671,1.031602018,2.753188099,7.728189654,0.666666667
34,ilrma,3,10,3,0.6344375,1,0,665605494,0,0,0,-6.95729577,-6.696587636,0,0,0
35,ilrma,3,10,3,0.6344375,1,0,665605494,50,1,1.469260663,-6.517349785,0.227282755,0.439945985,6.923870391,0.666666667
36,ilrma-t-IP,3,10,3,0.6344375,1,0,1685103474,0,0,0,-6.847034139,-6.569146527,0,0,0
37,ilrma-t-IP,3,10,3,0.6344375,1,0,1685103474,50,1,4.902957957,-3.929738575,1.512484016,2.917295564,8.081630544,0.666666667
38,ilrma,3,10,3,0.6344375,1,0,1685103474,0,0,0,-6.847034139,-6.569146527,0,0,0
39,ilrma,3,10,3,0.6344375,1,0,1685103474,50,1,1.439618348,-9.096093193,2.496838988,-2.249059054,9.065985515,0.666666667
40,ilrma-t-IP,3,10,3,0.6344375,1,0,1983958385,0,0,0,-7.020451577,-6.777128529,0,0,0
41,ilrma-t-IP,3,10,3,0.6344375,1,0,1983958385,50,1,4.941524542,-3.980772129,1.558334025,3.039679447,8.335462554,0.666666667
42,ilrma,3,10,3,0.6344375,1,0,1983958385,0,0,0,-7.020451577,-6.777128529,0,0,0
43,ilrma,3,10,3,0.6344375,1,0,1983958385,50,1,1.469275111,-7.906047293,1.947296715,-0.885595716,8.724425244,0.666666667
44,ilrma-t-IP,3,10,3,0.6344375,1,10,878579710,0,0,0,-3.545675502,-3.388921431,0,0,0
45,ilrma-t-IP,3,10,3,0.6344375,1,10,878579710,50,1,4.881863653,3.309823008,11.06953576,6.85549851,14.45845719,1
