,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,ilrma-t-IP,3,10,3,0.6344375,1,30,561383553,0,0,0,-3.307784466,-2.745695596,0,0,0
1,ilrma-t-IP,3,10,3,0.6344375,1,30,561383553,100,1,10.74311256,7.887107006,19.88621463,11.19489147,22.63191022,1
2,ilrma-t-iss-seq,3,10,3,0.6344375,1,30,561383553,0,0,0,-3.307784466,-2.745695596,0,0,0
3,ilrma-t-iss-seq,3,10,3,0.6344375,1,30,561383553,100,1,13.76279515,7.896624361,19.91856046,11.20440883,22.66425605,1
4,ilrma-t-iss-joint,3,10,3,0.6344375,1,30,561383553,0,0,0,-3.307784466,-2.745695596,0,0,0
5,ilrma-t-iss-joint,3,10,3,0.6344375,1,30,561383553,100,1,14.94413144,7.896624361,19.91856046,11.20440883,22.66425605,1
6,ilrma,3,10,3,0.6344375,1,30,561383553,0,0,0,-3.307784466,-2.745695596,0,0,0
7,ilrma,3,10,3,0.6344375,1,30,561383553,100,1,3.057309309,8.091193578,19.69661091,11.39897804,22.44230651,1
8,ilrma-t-IP,3,10,3,0.6344375,1,20,1358822685,0,0,0,-3.233667779,-2.876336093,0,0,0
9,ilrma-t-IP,3,10,3,0.6344375,1,20,1358822685,100,1,10.92987486,6.565790044,17.91793978,9.799457823,20.79427588,1
10,ilrma-t-iss-seq,3,10,3,0.6344375,1,20,1358822685,0,0,0,-3.233667779,-2.876336093,0,0,0
11,ilrma-t-iss-seq,3,10,3,0.6344375,1,20,1358822685,100,1,13.76444292,6.757176832,18.22189448,9.99084461,21.09823058,1
12,ilrma-t-iss-joint,3,10,3,0.6344375,1,20,1358822685,0,0,0,-3.233667779,-2.876336093,0,0,0
13,ilrma-t-iss-joint,3,10,3,0.6344375,1,20,1358822685,100,1,14.90114468,6.757176832,18.22189448,9.99084461,21.09823058,1
14,ilrma,3,10,3,0.6344375,1,20,1358822685,0,0,0,-3.233667779,-2.876336093,0,0,0
15,ilrma,3,10,3,0.6344375,1,20,1358822685,100,1,3.050378599,7.026405345,18.02060647,10.26007312,20.89694257,1
16,ilrma-t-IP,3,10,3,0.6344375,1,10,1675701733,0,0,0,-3.920440377,-3.317593119,0,0,0
17,ilrma-t-IP,3,10,3,0.6344375,1,10,1675701733,100,1,10.90821303,4.108534996,11.42866507,8.028975373,14.74625819,1
18,ilrma-t-iss-seq,3,10,3,0.6344375,1,10,1675701733,0,0,0,-3.920440377,-3.317593119,0,0,0
19,ilrma-t-iss-seq,3,10,3,0.6344375,1,10,1675701733,100,1,13.80000073,2.621390287,9.708570947,6.541830664,13.02616407,1
20,ilrma-t-iss-joint,3,10,3,0.6344375,1,10,1675701733,0,0,0,-3.920440377,-3.317593119,0,0,0
21,ilrma-t-iss-joint,3,10,3,0.6344375,1,10,1675701733,100,1,14.95884623,2.621390287,9.708570947,6.541830664,13.02616407,1
22,ilrma,3,10,3,0.6344375,1,10,1675701733,0,0,0,-3.920440377,-3.317593119,0,0,0
23,ilrma,3,10,3,0.6344375,1,10,1675701733,100,1,3.02630765,3.787862676,11.83083576,7.708303053,15.14842888,1
24,ilrma-t-IP,3,10,3,0.6344375,1,10,1402032510,0,0,0,-3.848123998,-3.187457437,0,0,0
25,ilrma-t-IP,3,10,3,0.6344375,1,10,1402032510,100,1,10.75165271,2.632052311,10.37603025,6.480176309,13.56348768,1
26,ilrma-t-iss-seq,3,10,3,0.6344375,1,10,1402032510,0,0,0,-3.848123998,-3.187457437,0,0,0
27,ilrma-t-iss-seq,3,10,3,0.6344375,1,10,1402032510,100,1,13.76153942,2.62434656,10.4156196,6.472470558,13.60307704,1
28,ilrma-t-iss-joint,3,10,3,0.6344375,1,10,1402032510,0,0,0,-3.848123998,-3.187457437,0,0,0
